cep_consultado,api,logradouro,complemento,bairro,localidade,uf,raw_json
01303040,ViaCEP,Rua Gravataí,,Consolação,São Paulo,SP,"{'cep': '01303-040', 'logradouro': 'Rua Gravataí', 'complemento': '', 'unidade': '', 'bairro': 'Consolação', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01321001,ViaCEP,Rua Martiniano de Carvalho,lado ímpar,Bela Vista,São Paulo,SP,"{'cep': '01321-001', 'logradouro': 'Rua Martiniano de Carvalho', 'complemento': 'lado ímpar', 'unidade': '', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01327000,ViaCEP,Rua Treze de Maio,até 1149/1150,Bela Vista,São Paulo,SP,"{'cep': '01327-000', 'logradouro': 'Rua Treze de Maio', 'complemento': 'até 1149/1150', 'unidade': '', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01316010,ViaCEP,Rua Genebra,,Bela Vista,São Paulo,SP,"{'cep': '01316-010', 'logradouro': 'Rua Genebra', 'complemento': '', 'unidade': '', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01332000,ViaCEP,Rua Itapeva,,Bela Vista,São Paulo,SP,"{'cep': '01332-000', 'logradouro': 'Rua Itapeva', 'complemento': '', 'unidade': '', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01333020,ViaCEP,Rua Carlos Sampaio,lado par,Bela Vista,São Paulo,SP,"{'cep': '01333-020', 'logradouro': 'Rua Carlos Sampaio', 'complemento': 'lado par', 'unidade': '', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01411010,ViaCEP,Rua Barão de Capanema,lado par,Cerqueira César,São Paulo,SP,"{'cep': '01411-010', 'logradouro': 'Rua Barão de Capanema', 'complemento': 'lado par', 'unidade': '', 'bairro': 'Cerqueira César', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01418000,ViaCEP,Alameda Santos,até 484 - lado par,Cerqueira César,São Paulo,SP,"{'cep': '01418-000', 'logradouro': 'Alameda Santos', 'complemento': 'até 484 - lado par', 'unidade': '', 'bairro': 'Cerqueira César', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01418100,ViaCEP,Alameda Santos,de 1056 a 1496 - lado par,Cerqueira César,São Paulo,SP,"{'cep': '01418-100', 'logradouro': 'Alameda Santos', 'complemento': 'de 1056 a 1496 - lado par', 'unidade': '', 'bairro': 'Cerqueira César', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01409000,ViaCEP,Rua Peixoto Gomide,até 1248 - lado par,Jardim Paulista,São Paulo,SP,"{'cep': '01409-000', 'logradouro': 'Rua Peixoto Gomide', 'complemento': 'até 1248 - lado par', 'unidade': '', 'bairro': 'Jardim Paulista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01333021,ViaCEP,Rua Carlos Sampaio,lado ímpar,Bela Vista,São Paulo,SP,"{'cep': '01333-021', 'logradouro': 'Rua Carlos Sampaio', 'complemento': 'lado ímpar', 'unidade': '', 'bairro': 'Bela Vista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01409002,ViaCEP,Rua Peixoto Gomide,de 1250 ao fim - lado par,Jardim Paulista,São Paulo,SP,"{'cep': '01409-002', 'logradouro': 'Rua Peixoto Gomide', 'complemento': 'de 1250 ao fim - lado par', 'unidade': '', 'bairro': 'Jardim Paulista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01414003,ViaCEP,Rua Haddock Lobo,de 1081 ao fim - lado ímpar,Cerqueira César,São Paulo,SP,"{'cep': '01414-003', 'logradouro': 'Rua Haddock Lobo', 'complemento': 'de 1081 ao fim - lado ímpar', 'unidade': '', 'bairro': 'Cerqueira César', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01414010,ViaCEP,Rua Sarandi,,Cerqueira César,São Paulo,SP,"{'cep': '01414-010', 'logradouro': 'Rua Sarandi', 'complemento': '', 'unidade': '', 'bairro': 'Cerqueira César', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01417010,ViaCEP,Rua Melo Alves,,Cerqueira César,São Paulo,SP,"{'cep': '01417-010', 'logradouro': 'Rua Melo Alves', 'complemento': '', 'unidade': '', 'bairro': 'Cerqueira César', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01416001,ViaCEP,Rua da Consolação,de 2461 a 3313 - lado ímpar,Cerqueira César,São Paulo,SP,"{'cep': '01416-001', 'logradouro': 'Rua da Consolação', 'complemento': 'de 2461 a 3313 - lado ímpar', 'unidade': '', 'bairro': 'Cerqueira César', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01415000,ViaCEP,Rua Bela Cintra,até 586 - lado par,Consolação,São Paulo,SP,"{'cep': '01415-000', 'logradouro': 'Rua Bela Cintra', 'complemento': 'até 586 - lado par', 'unidade': '', 'bairro': 'Consolação', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01417020,ViaCEP,Alameda Tietê,,Cerqueira César,São Paulo,SP,"{'cep': '01417-020', 'logradouro': 'Alameda Tietê', 'complemento': '', 'unidade': '', 'bairro': 'Cerqueira César', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01419001,ViaCEP,Alameda Santos,de 503 a 1039 - lado ímpar,Cerqueira César,São Paulo,SP,"{'cep': '01419-001', 'logradouro': 'Alameda Santos', 'complemento': 'de 503 a 1039 - lado ímpar', 'unidade': '', 'bairro': 'Cerqueira César', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01415004,ViaCEP,Rua Bela Cintra,de 1242 a 1652 - lado par,Consolação,São Paulo,SP,"{'cep': '01415-004', 'logradouro': 'Rua Bela Cintra', 'complemento': 'de 1242 a 1652 - lado par', 'unidade': '', 'bairro': 'Consolação', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
02018001,ViaCEP,Rua Amaral Gama,de 281/282 ao fim,Santana,São Paulo,SP,"{'cep': '02018-001', 'logradouro': 'Rua Amaral Gama', 'complemento': 'de 281/282 ao fim', 'unidade': '', 'bairro': 'Santana', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
01422000,ViaCEP,Alameda Franca,até 384 - lado par,Jardim Paulista,São Paulo,SP,"{'cep': '01422-000', 'logradouro': 'Alameda Franca', 'complemento': 'até 384 - lado par', 'unidade': '', 'bairro': 'Jardim Paulista', 'localidade': 'São Paulo', 'uf': 'SP', 'estado': 'São Paulo', 'regiao': 'Sudeste', 'ibge': '3550308', 'gia': '1004', 'ddd': '11', 'siafi': '7107'}"
